date,state,death,negative,positive
2021-01,AK,56,0,7137
2021-02,AK,28,0,3391
2021-03,AK,15,0,897
2021-04,AK,0,0,0
2021-05,AK,0,0,0
2021-06,AK,0,0,0
2021-07,AK,0,0,0
2021-08,AK,0,0,0
2021-09,AK,0,0,0
2021-10,AK,0,0,0
2021-11,AK,0,0,0
2021-12,AK,0,0,0
2020-01,AK,0,0,0
2020-02,AK,0,0,0
2020-03,AK,3,0,128
2020-04,AK,6,0,227
2020-05,AK,1,0,108
2020-06,AK,4,0,481
2020-07,AK,9,0,2049
2020-08,AK,14,0,2293
2020-09,AK,19,0,2603
2020-10,AK,26,0,7423
2020-11,AK,39,0,16011
2020-12,AK,85,0,14138
2021-01,AL,2861,194967,98413
2021-02,AL,2241,125305,33613
2021-03,AL,219,28020,6567
2021-04,AL,0,0,0
2021-05,AL,0,0,0
2021-06,AL,0,0,0
2021-07,AL,0,0,0
2021-08,AL,0,0,0
2021-09,AL,0,0,0
2021-10,AL,0,0,0
2021-11,AL,0,0,0
2021-12,AL,0,0,0
2020-01,AL,0,0,0
2020-02,AL,0,0,0
2020-03,AL,13,6298,981
2020-04,AL,256,73879,6038
2020-05,AL,362,119473,10884
2020-06,AL,319,168957,20142
2020-07,AL,630,233137,49678
2020-08,AL,602,257485,38335
2020-09,AL,358,135246,28643
2020-10,AL,427,187483,37584
2020-11,AL,611,194366,57239
2020-12,AL,1249,207095,111702
2021-01,AR,1192,331166,70130
2021-02,AR,375,245987,27147
2021-03,AR,76,38859,2403
2021-04,AR,0,0,0
2021-05,AR,0,0,0
2021-06,AR,0,0,0
2021-07,AR,0,0,0
2021-08,AR,0,0,0
2021-09,AR,0,0,0
2021-10,AR,0,0,0
2021-11,AR,0,0,0
2021-12,AR,0,0,0
2020-01,AR,0,0,0
2020-02,AR,0,0,0
2020-03,AR,8,5953,523
2020-04,AR,53,39165,2732
2020-05,AR,72,77138,3998
2020-06,AR,137,168164,13524
2020-07,AR,183,170532,21734
2020-08,AR,344,204853,18713
2020-09,AR,572,283296,22473
2020-10,AR,556,294383,28493
2020-11,AR,577,301911,45169
2020-12,AR,1174,319303,67779
2021-01,AS,0,0,0
2021-02,AS,0,0,0
2021-03,AS,0,0,0
2021-04,AS,0,0,0
2021-05,AS,0,0,0
2021-06,AS,0,0,0
2021-07,AS,0,0,0
2021-08,AS,0,0,0
2021-09,AS,0,0,0
2021-10,AS,0,0,0
2021-11,AS,0,0,0
2021-12,AS,0,0,0
2020-01,AS,0,0,0
2020-02,AS,0,0,0
2020-03,AS,0,3,0
2020-04,AS,0,0,0
2020-05,AS,0,171,0
2020-06,AS,0,522,0
2020-07,AS,0,341,0
2020-08,AS,0,477,0
2020-09,AS,0,57,0
2020-10,AS,0,45,0
2020-11,AS,0,372,0
2020-12,AS,0,152,0
2021-01,AZ,4256,407408,238197
2021-02,AZ,2860,249788,58378
2021-03,AZ,348,76179,9672
2021-04,AZ,0,0,0
2021-05,AZ,0,0,0
2021-06,AZ,0,0,0
2021-07,AZ,0,0,0
2021-08,AZ,0,0,0
2021-09,AZ,0,0,0
2021-10,AZ,0,0,0
2021-11,AZ,0,0,0
2021-12,AZ,0,0,0
2020-01,AZ,0,0,0
2020-02,AZ,0,0,0
2020-03,AZ,24,18055,1287
2020-04,AZ,296,46056,6359
2020-05,AZ,586,141132,12288
2020-06,AZ,726,247871,59279
2020-07,AZ,2062,306592,94795
2020-08,AZ,1335,242861,27825
2020-09,AZ,621,241047,16672
2020-10,AZ,329,287782,27439
2020-11,AZ,660,405526,80871
2020-12,AZ,2225,402686,193390
2021-01,CA,15311,0,997969
2021-02,CA,11282,0,232214
2021-03,CA,2145,0,25832
2021-04,CA,0,0,0
2021-05,CA,0,0,0
2021-06,CA,0,0,0
2021-07,CA,0,0,0
2021-08,CA,0,0,0
2021-09,CA,0,0,0
2021-10,CA,0,0,0
2021-11,CA,0,0,0
2021-12,CA,0,0,0
2020-01,CA,0,0,0
2020-02,CA,0,0,0
2020-03,CA,153,21310,7429
2020-04,CA,1829,21772,41435
2020-05,CA,2231,0,61666
2020-06,CA,1767,0,118149
2020-07,CA,3025,0,264856
2020-08,CA,3928,0,210497
2020-09,CA,2859,0,106540
2020-10,CA,1834,0,111380
2020-11,CA,1515,0,290963
2020-12,CA,6245,0,1032411
2021-01,CO,823,196173,62082
2021-02,CO,314,160886,32124
2021-03,CO,38,26830,8299
2021-04,CO,0,0,0
2021-05,CO,0,0,0
2021-06,CO,0,0,0
2021-07,CO,0,0,0
2021-08,CO,0,0,0
2021-09,CO,0,0,0
2021-10,CO,0,0,0
2021-11,CO,0,0,0
2021-12,CO,0,0,0
2020-01,CO,0,0,0
2020-02,CO,0,0,0
2020-03,CO,69,13864,2964
2020-04,CO,708,43223,12318
2020-05,CO,668,102892,11094
2020-06,CO,245,134790,6337
2020-07,CO,148,191806,14094
2020-08,CO,107,170750,10615
2020-09,CO,106,188504,13112
2020-10,CO,234,276208,36814
2020-11,CO,752,409288,125555
2020-12,CO,1777,284225,101192
2021-01,CT,1051,0,64315
2021-02,CT,576,0,29923
2021-03,CT,82,0,5384
2021-04,CT,0,0,0
2021-05,CT,0,0,0
2021-06,CT,0,0,0
2021-07,CT,0,0,0
2021-08,CT,0,0,0
2021-09,CT,0,0,0
2021-10,CT,0,0,0
2021-11,CT,0,0,0
2021-12,CT,0,0,0
2020-01,CT,0,0,0
2020-02,CT,0,0,0
2020-03,CT,69,0,3128
2020-04,CT,2188,0,24572
2020-05,CT,1687,0,14501
2020-06,CT,378,0,4313
2020-07,CT,110,0,3296
2020-08,CT,33,0,3069
2020-09,CT,43,0,4671
2020-10,CT,108,0,13657
2020-11,CT,404,0,46088
2020-12,CT,975,0,68413
2021-01,DC,127,0,7889
2021-02,DC,104,0,3726
2021-03,DC,13,0,821
2021-04,DC,0,0,0
2021-05,DC,0,0,0
2021-06,DC,0,0,0
2021-07,DC,0,0,0
2021-08,DC,0,0,0
2021-09,DC,0,0,0
2021-10,DC,0,0,0
2021-11,DC,0,0,0
2021-12,DC,0,0,0
2020-01,DC,0,0,0
2020-02,DC,0,0,0
2020-03,DC,9,0,495
2020-04,DC,215,0,3828
2020-05,DC,242,0,4478
2020-06,DC,85,0,1526
2020-07,DC,34,0,1799
2020-08,DC,22,0,1866
2020-09,DC,20,0,1334
2020-10,DC,19,0,1940
2020-11,DC,34,0,4286
2020-12,DC,106,0,7431
2021-01,DE,164,55312,20615
2021-02,DE,332,30703,8728
2021-03,DE,51,6426,1555
2021-04,DE,0,0,0
2021-05,DE,0,0,0
2021-06,DE,0,0,0
2021-07,DE,0,0,0
2021-08,DE,0,0,0
2021-09,DE,0,0,0
2021-10,DE,0,0,0
2021-11,DE,0,0,0
2021-12,DE,0,0,0
2020-01,DE,0,0,0
2020-02,DE,0,0,0
2020-03,DE,12,3686,319
2020-04,DE,198,13390,4415
2020-05,DE,258,34087,4764
2020-06,DE,41,48234,1976
2020-07,DE,76,66852,3314
2020-08,DE,20,53161,2641
2020-09,DE,31,46529,3184
2020-10,DE,72,59828,4338
2020-11,DE,64,62911,10703
2020-12,DE,154,63941,21802
2021-01,FL,4925,1056400,389172
2021-02,FL,4491,724070,184454
2021-03,FL,860,153504,35055
2021-04,FL,0,0,0
2021-05,FL,0,0,0
2021-06,FL,0,0,0
2021-07,FL,0,0,0
2021-08,FL,0,0,0
2021-09,FL,0,0,0
2021-10,FL,0,0,0
2021-11,FL,0,0,0
2021-12,FL,0,0,0
2020-01,FL,0,0,0
2020-02,FL,0,0,0
2020-03,FL,77,54285,5612
2020-04,FL,1213,294430,26917
2020-05,FL,1244,616471,21981
2020-06,FL,1070,827375,95379
2020-07,FL,3362,1365141,313468
2020-08,FL,4365,834366,153272
2020-09,FL,3157,602600,81422
2020-10,FL,2481,740127,93946
2020-11,FL,1865,921637,191373
2020-12,FL,3156,1148632,317158
2021-01,GA,3264,0,242993
2021-02,GA,3097,0,97076
2021-03,GA,611,0,16966
2021-04,GA,0,0,0
2021-05,GA,0,0,0
2021-06,GA,0,0,0
2021-07,GA,0,0,0
2021-08,GA,0,0,0
2021-09,GA,0,0,0
2021-10,GA,0,0,0
2021-11,GA,0,0,0
2021-12,GA,0,0,0
2020-01,GA,0,0,0
2020-02,GA,0,0,0
2020-03,GA,111,0,3927
2020-04,GA,1009,0,22226
2020-05,GA,922,0,20831
2020-06,GA,763,0,34305
2020-07,GA,947,0,105061
2020-08,GA,1880,0,84119
2020-09,GA,1389,0,47555
2020-10,GA,958,0,42764
2020-11,GA,1473,0,110773
2020-12,GA,1482,0,194889
2021-01,GU,7,9668,270
2021-02,GU,2,11324,149
2021-03,GU,2,3020,13
2021-04,GU,0,0,0
2021-05,GU,0,0,0
2021-06,GU,0,0,0
2021-07,GU,0,0,0
2021-08,GU,0,0,0
2021-09,GU,0,0,0
2021-10,GU,0,0,0
2021-11,GU,0,0,0
2021-12,GU,0,0,0
