age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
25,Private,11th,Never-married,Machine-op-inspct,Own-child,Male,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
44,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
34,Private,10th,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
63,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
24,Private,Some-college,Never-married,Other-service,Unmarried,Female,United-States,<=50K
55,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
65,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
36,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
26,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
48,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
43,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
20,State-gov,Some-college,Never-married,Other-service,Own-child,Male,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
37,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,Female,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
34,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,Peru,<=50K
25,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
22,Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
23,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Male,United-States,<=50K
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
32,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
46,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
56,Self-emp-not-inc,11th,Widowed,Other-service,Unmarried,Female,United-States,<=50K
24,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,Male,United-States,<=50K
23,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,United-States,<=50K
