age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
51,Private,Some-college,Divorced,Exec-managerial,Unmarried,Female,United-States,<=50K
67,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
28,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
22,Private,10th,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
30,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
47,Private,HS-grad,Married-civ-spouse,Sales,Own-child,Female,United-States,>50K
42,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
27,Self-emp-inc,12th,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
61,Private,Masters,Widowed,Prof-specialty,Not-in-family,Female,United-States,>50K
28,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Male,United-States,<=50K
21,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
28,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
31,Private,7th-8th,Married-civ-spouse,Other-service,Husband,Male,Mexico,<=50K
41,Private,HS-grad,Widowed,Exec-managerial,Other-relative,Male,United-States,<=50K
19,Private,HS-grad,Never-married,Sales,Own-child,Female,United-States,<=50K
42,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
23,Private,HS-grad,Divorced,Other-service,Own-child,Female,United-States,<=50K
28,Private,Bachelors,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
22,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Male,United-States,<=50K
26,Private,HS-grad,Married-spouse-absent,Protective-serv,Not-in-family,Male,United-States,<=50K
51,Private,10th,Married-civ-spouse,Other-service,Husband,Male,Mexico,<=50K
40,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
40,Local-gov,HS-grad,Never-married,Craft-repair,Other-relative,Male,United-States,<=50K
38,Private,HS-grad,Never-married,Other-service,Unmarried,Female,United-States,<=50K
40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
50,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
40,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
